reported ID	URL	referenced ID	referenced URL	status	component	importance	keyword	version
37865	https://bugs.llvm.org/show_bug.cgi?id=37865	52654	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=52654	invalid	c++	P		unspecified
37866	https://bugs.llvm.org/show_bug.cgi?id=37866	79184	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=79184)	invalid	c++	P		unspecified
37867	https://bugs.llvm.org/show_bug.cgi?id=37867	1876	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=1876	invalid	c++	P		unspecified
37869	https://bugs.llvm.org/show_bug.cgi?id=37869	2189	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=2189	invalid	c++	P		unspecified
37870	https://bugs.llvm.org/show_bug.cgi?id=37870	78089	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=78089	invalid	c++	P		unspecified
37885	https://bugs.llvm.org/show_bug.cgi?id=37885	86181	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=31775	invalid	c++	P		unspecified
37922	https://bugs.llvm.org/show_bug.cgi?id=37922	14772	https://bugs.llvm.org/show_bug.cgi?id=14772	invalid	c++	P		unspecified
37923	https://bugs.llvm.org/show_bug.cgi?id=37923	23421	https://bugs.llvm.org/show_bug.cgi?id=23421	invalid	c++	P		unspecified
37925	https://bugs.llvm.org/show_bug.cgi?id=37925	13068	https://bugs.llvm.org/show_bug.cgi?id=13068	invalid	c++	P		unspecified
38140	https://bugs.llvm.org/show_bug.cgi?id=38140	47301	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=47301	invalid	c++	p		unspecified
38144	https://bugs.llvm.org/show_bug.cgi?id=38144	20420	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=20420	invalid	c++	p		unspecified
38203	https://bugs.llvm.org/show_bug.cgi?id=38203	57610	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=57610	invalid	c++	p		unspecified
38236	https://bugs.llvm.org/show_bug.cgi?id=38236	58377	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=58377	invalid	c++	p		unspecified
38265	https://bugs.llvm.org/show_bug.cgi?id=38265	60980	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=60980	invalid	c++	p		unspecified
38266	https://bugs.llvm.org/show_bug.cgi?id=38266	53220	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=53220	invalid	c++	p		unspecified
